DataPoint,Wavelength_1_Left Hand_,Wavelength_1_Right Hand_,Wavelength_1__,Wavelength_1__,Wavelength_1__,Wavelength_2_Left Hand_,Wavelength_2_Right Hand_,Wavelength_2__,Wavelength_2__,Wavelength_2__,Wavelength_3_Left Hand_,Wavelength_3_Right Hand_,Wavelength_3__,Wavelength_3__,Wavelength_3__
196,1.10858,0,1,0,0,1.10858,0,1,0,0,1.10858,0,1,0,0
197,1.11092,0,1,0,0,1.11092,0,1,0,0,1.11092,0,1,0,0
198,1.11316,0,1,0,0,1.11316,0,1,0,0,1.11316,0,1,0,0
199,1.11531,0,1,0,0,1.11531,0,1,0,0,1.11531,0,1,0,0
200,1.11736,0,1,0,0,1.11736,0,1,0,0,1.11736,0,1,0,0
201,1.11933,0,1,0,0,1.11933,0,1,0,0,1.11933,0,1,0,0
202,1.1212,0,1,0,0,1.1212,0,1,0,0,1.1212,0,1,0,0
203,1.12298,0,1,0,0,1.12298,0,1,0,0,1.12298,0,1,0,0
204,1.12468,0,1,0,0,1.12468,0,1,0,0,1.12468,0,1,0,0
205,1.12628,0,1,0,0,1.12628,0,1,0,0,1.12628,0,1,0,0
206,1.12779,0,1,0,0,1.12779,0,1,0,0,1.12779,0,1,0,0
207,1.12921,0,1,0,0,1.12921,0,1,0,0,1.12921,0,1,0,0
208,1.13053,0,1,0,0,1.13053,0,1,0,0,1.13053,0,1,0,0
209,1.13174,0,1,0,0,1.13174,0,1,0,0,1.13174,0,1,0,0
210,1.13285,0,1,0,0,1.13285,0,1,0,0,1.13285,0,1,0,0
211,1.13385,0,1,0,0,1.13385,0,1,0,0,1.13385,0,1,0,0
212,1.13473,0,1,0,0,1.13473,0,1,0,0,1.13473,0,1,0,0
213,1.13548,0,1,0,0,1.13548,0,1,0,0,1.13548,0,1,0,0
214,1.1361,0,1,0,0,1.1361,0,1,0,0,1.1361,0,1,0,0
215,1.13658,0,1,0,0,1.13658,0,1,0,0,1.13658,0,1,0,0
216,1.1369,0,1,0,0,1.1369,0,1,0,0,1.1369,0,1,0,0
217,1.13706,0,1,0,0,1.13706,0,1,0,0,1.13706,0,1,0,0
218,1.13705,0,1,0,0,1.13705,0,1,0,0,1.13705,0,1,0,0
219,1.13686,0,1,0,0,1.13686,0,1,0,0,1.13686,0,1,0,0
220,1.13648,0,1,0,0,1.13648,0,1,0,0,1.13648,0,1,0,0
221,1.13588,0,1,0,0,1.13588,0,1,0,0,1.13588,0,1,0,0
222,1.13508,0,1,0,0,1.13508,0,1,0,0,1.13508,0,1,0,0
223,1.13405,0,1,0,0,1.13405,0,1,0,0,1.13405,0,1,0,0
224,1.13278,0,1,0,0,1.13278,0,1,0,0,1.13278,0,1,0,0
225,1.13126,0,1,0,0,1.13126,0,1,0,0,1.13126,0,1,0,0
226,1.12948,0,1,0,0,1.12948,0,1,0,0,1.12948,0,1,0,0
227,1.12744,0,1,0,0,1.12744,0,1,0,0,1.12744,0,1,0,0
228,1.12511,0,1,0,0,1.12511,0,1,0,0,1.12511,0,1,0,0
229,1.1225,0,1,0,0,1.1225,0,1,0,0,1.1225,0,1,0,0
230,1.1196,0,1,0,0,1.1196,0,1,0,0,1.1196,0,1,0,0
231,1.11639,0,1,0,0,1.11639,0,1,0,0,1.11639,0,1,0,0
232,1.11287,0,1,0,0,1.11287,0,1,0,0,1.11287,0,1,0,0
233,1.10903,0,1,0,0,1.10903,0,1,0,0,1.10903,0,1,0,0
234,1.10488,0,1,0,0,1.10488,0,1,0,0,1.10488,0,1,0,0
235,1.10039,0,1,0,0,1.10039,0,1,0,0,1.10039,0,1,0,0
236,1.09557,0,1,0,0,1.09557,0,1,0,0,1.09557,0,1,0,0
237,1.09042,0,1,0,0,1.09042,0,1,0,0,1.09042,0,1,0,0
238,1.08493,0,1,0,0,1.08493,0,1,0,0,1.08493,0,1,0,0
239,1.0791,0,1,0,0,1.0791,0,1,0,0,1.0791,0,1,0,0
240,1.07292,0,1,0,0,1.07292,0,1,0,0,1.07292,0,1,0,0
241,1.06641,0,1,0,0,1.06641,0,1,0,0,1.06641,0,1,0,0
242,1.05956,0,1,0,0,1.05956,0,1,0,0,1.05956,0,1,0,0
243,1.05237,0,1,0,0,1.05237,0,1,0,0,1.05237,0,1,0,0
244,1.04484,0,1,0,0,1.04484,0,1,0,0,1.04484,0,1,0,0
245,1.03698,0,1,0,0,1.03698,0,1,0,0,1.03698,0,1,0,0
246,1.0288,0,1,0,0,1.0288,0,1,0,0,1.0288,0,1,0,0
247,1.02028,0,1,0,0,1.02028,0,1,0,0,1.02028,0,1,0,0
248,1.01145,0,1,0,0,1.01145,0,1,0,0,1.01145,0,1,0,0
249,1.00231,0,1,0,0,1.00231,0,1,0,0,1.00231,0,1,0,0
250,0.992858,0,1,0,0,0.992858,0,1,0,0,0.992858,0,1,0,0
251,0.983107,0,1,0,0,0.983107,0,1,0,0,0.983107,0,1,0,0
252,0.973065,0,1,0,0,0.973065,0,1,0,0,0.973065,0,1,0,0
253,0.962739,0,1,0,0,0.962739,0,1,0,0,0.962739,0,1,0,0
254,0.952139,0,1,0,0,0.952139,0,1,0,0,0.952139,0,1,0,0
255,0.941273,0,1,0,0,0.941273,0,1,0,0,0.941273,0,1,0,0
256,0.93015,0,1,0,0,0.93015,0,1,0,0,0.93015,0,1,0,0
257,0.918782,0,1,0,0,0.918782,0,1,0,0,0.918782,0,1,0,0
258,0.907179,0,1,0,0,0.907179,0,1,0,0,0.907179,0,1,0,0
259,0.89535,0,1,0,0,0.89535,0,1,0,0,0.89535,0,1,0,0
260,0.883307,0,1,0,0,0.883307,0,1,0,0,0.883307,0,1,0,0
261,0.871061,0,1,0,0,0.871061,0,1,0,0,0.871061,0,1,0,0
262,0.858623,0,1,0,0,0.858623,0,1,0,0,0.858623,0,1,0,0
263,0.846004,0,1,0,0,0.846004,0,1,0,0,0.846004,0,1,0,0
264,0.833217,0,1,0,0,0.833217,0,1,0,0,0.833217,0,1,0,0
265,0.820272,0,1,0,0,0.820272,0,1,0,0,0.820272,0,1,0,0
266,0.807182,0,1,0,0,0.807182,0,1,0,0,0.807182,0,1,0,0
267,0.793957,0,1,0,0,0.793957,0,1,0,0,0.793957,0,1,0,0
268,0.780611,0,1,0,0,0.780611,0,1,0,0,0.780611,0,1,0,0
269,0.767154,0,1,0,0,0.767154,0,1,0,0,0.767154,0,1,0,0
270,0.753599,0,1,0,0,0.753599,0,1,0,0,0.753599,0,1,0,0
271,0.739956,0,1,0,0,0.739956,0,1,0,0,0.739956,0,1,0,0
272,0.726237,0,1,0,0,0.726237,0,1,0,0,0.726237,0,1,0,0
273,0.712454,0,1,0,0,0.712454,0,1,0,0,0.712454,0,1,0,0
274,0.698617,0,1,0,0,0.698617,0,1,0,0,0.698617,0,1,0,0
275,0.684738,0,1,0,0,0.684738,0,1,0,0,0.684738,0,1,0,0
276,0.670826,0,1,0,0,0.670826,0,1,0,0,0.670826,0,1,0,0
277,0.656894,0,1,0,0,0.656894,0,1,0,0,0.656894,0,1,0,0
278,0.642951,0,1,0,0,0.642951,0,1,0,0,0.642951,0,1,0,0
279,0.629007,0,1,0,0,0.629007,0,1,0,0,0.629007,0,1,0,0
280,0.615073,0,1,0,0,0.615073,0,1,0,0,0.615073,0,1,0,0
281,0.601157,0,1,0,0,0.601157,0,1,0,0,0.601157,0,1,0,0
282,0.58727,0,1,0,0,0.58727,0,1,0,0,0.58727,0,1,0,0
283,0.573419,0,1,0,0,0.573419,0,1,0,0,0.573419,0,1,0,0
284,0.559615,0,1,0,0,0.559615,0,1,0,0,0.559615,0,1,0,0
285,0.545865,0,1,0,0,0.545865,0,1,0,0,0.545865,0,1,0,0
286,0.532177,0,1,0,0,0.532177,0,1,0,0,0.532177,0,1,0,0
287,0.51856,0,1,0,0,0.51856,0,1,0,0,0.51856,0,1,0,0
288,0.505022,0,1,0,0,0.505022,0,1,0,0,0.505022,0,1,0,0
289,0.491568,0,1,0,0,0.491568,0,1,0,0,0.491568,0,1,0,0
290,0.478207,0,1,0,0,0.478207,0,1,0,0,0.478207,0,1,0,0
291,0.464945,0,1,0,0,0.464945,0,1,0,0,0.464945,0,1,0,0
292,0.451788,0,1,0,0,0.451788,0,1,0,0,0.451788,0,1,0,0
293,0.438743,0,1,0,0,0.438743,0,1,0,0,0.438743,0,1,0,0
294,0.425814,0,1,0,0,0.425814,0,1,0,0,0.425814,0,1,0,0
295,0.413008,0,1,0,0,0.413008,0,1,0,0,0.413008,0,1,0,0
296,0.40033,0,1,0,0,0.40033,0,1,0,0,0.40033,0,1,0,0
297,0.387784,0,1,0,0,0.387784,0,1,0,0,0.387784,0,1,0,0
298,0.375375,0,1,0,0,0.375375,0,1,0,0,0.375375,0,1,0,0
299,0.363108,0,1,0,0,0.363108,0,1,0,0,0.363108,0,1,0,0
300,0.350985,0,1,0,0,0.350985,0,1,0,0,0.350985,0,1,0,0
301,0.339011,0,1,0,0,0.339011,0,1,0,0,0.339011,0,1,0,0
302,0.32719,0,1,0,0,0.32719,0,1,0,0,0.32719,0,1,0,0
303,0.315523,0,1,0,0,0.315523,0,1,0,0,0.315523,0,1,0,0
304,0.304016,0,1,0,0,0.304016,0,1,0,0,0.304016,0,1,0,0
305,0.292668,0,1,0,0,0.292668,0,1,0,0,0.292668,0,1,0,0
306,0.281484,0,1,0,0,0.281484,0,1,0,0,0.281484,0,1,0,0
307,0.270466,0,1,0,0,0.270466,0,1,0,0,0.270466,0,1,0,0
308,0.259615,0,1,0,0,0.259615,0,1,0,0,0.259615,0,1,0,0
309,0.248932,0,1,0,0,0.248932,0,1,0,0,0.248932,0,1,0,0
310,0.23842,0,1,0,0,0.23842,0,1,0,0,0.23842,0,1,0,0
311,0.22808,0,1,0,0,0.22808,0,1,0,0,0.22808,0,1,0,0
312,0.217912,0,1,0,0,0.217912,0,1,0,0,0.217912,0,1,0,0
313,0.207918,0,1,0,0,0.207918,0,1,0,0,0.207918,0,1,0,0
314,0.198098,0,1,0,0,0.198098,0,1,0,0,0.198098,0,1,0,0
315,0.188452,0,1,0,0,0.188452,0,1,0,0,0.188452,0,1,0,0
316,0.178982,0,1,0,0,0.178982,0,1,0,0,0.178982,0,1,0,0
317,0.169687,0,1,0,0,0.169687,0,1,0,0,0.169687,0,1,0,0
318,0.160566,0,1,0,0,0.160566,0,1,0,0,0.160566,0,1,0,0
319,0.151621,0,1,0,0,0.151621,0,1,0,0,0.151621,0,1,0,0
320,0.14285,0,1,0,0,0.14285,0,1,0,0,0.14285,0,1,0,0
321,0.134253,0,1,0,0,0.134253,0,1,0,0,0.134253,0,1,0,0
322,0.12583,0,1,0,0,0.12583,0,1,0,0,0.12583,0,1,0,0
